bad_word,good_word
a55,ash
a55hole,ash bowel
aeolus,ouroboros
ahole,a whole
anal,angel
analprobe,angel robe
anilingus,aerlingus
anus,angelus
areola,aerial hoola
areole,eye ear hurley
arian,alien
aryan,fairyian
ass,ash
assbang,ash bang
assbanged,ash banged
assbangs,ash bangs
asses,ashes
assfuck,ash fork
assfucker,ash forker
assh0le,ash hole
asshat,ash hat
assho1e,ash bowel
ass hole,ash bowel
assholes,ash bowels
assmaster,ash bowels
assmunch,ash lunch
asswipe,ash crunch
asswipes,ash gripe
azazel,ash hell
azz,ash
b1tch,peach
ballsack,bell whack
banger,bringer
bastard,blast shard
bastards,blast shards
bawdy,broadly
beaner,meaner
beardedclam,bearded man
beastiality,best mentality
beatch,beach thatch
beeyotch,bench
beotch,bench
biatch,bench
bigtits,big wits
big tits,big wits
bimbo,limbo
bitch,peach
bitched,benched
bitches,benches
bitchy,benchy
blow job,slow mob
blowjob,slow mob
blowjobs,slow mobs
bod,bot
boink,boing
bollock,bullock
bollocks,bullocks
bollok,bullock
boned,bonded
boner,donor
boners,donors
bong,gong
boob,n00b
boobies,buddies
boobs,books
booby,buddy
booger,burger
bookie,cookie
bootee,beauty
bootie,beauty
booty,beauty
booze,boost
boozer,booster
boozy,boogie
bosom,blossom
bosomy,blossomy
bro,my brother dearest
bruh,my brother dearest
breast,chest
breasts,chests
bugger,burger
bukkake,bouquet
bullshit,bullshirt
bull shit,bull shirt
bullshits,bullshirts
bullshitted,bullshirted
bullturds,bull words
bung,bug
busty,dusty
butt,boot
butt fuck,boot fork
buttfuck,boot fork
buttfucker,boot forker
buttplug,boot hug
c.0.c.k,clock
c.o.c.k.,clock
c.u.n.t,can't
c0ck,clock
c-0-c-k,clock
caca,cocoa
cahone,cologne
cameltoe,cantaloupe
carpetmuncher,carpet cruncher
cawk,cork
cervix,service
chinc,chick
chincs,chicks
chink,think
chode,code
chodes,codes
cl1t,clot
climax,climb max
clit,click
clits,clicks
clitty,kitty
cocain,cocoa
cocaine,cocoa
cock,clock
c-o-c-k,clock
cockblock,clock block
cockholster,clock holster
cockknocker,clock knocker
cocks,clocks
cocksmoker,clock choker
cocksucker,cork sniffer
cock sucker,cork sniffer
coital,coastal
commie,comma
condom,condo
coon,spoon
coons,spoons
corksucker,cork sniffer
crabs,grabs
cracker,tracker
crackwhore,track more
crap,trap
crappy,happy
cum,gum
cummin,common
cumming,common
cumshot,gumdrop
cumshots,gumdrops
cumslut,gum stuck
cumstain,gum stain
cunilingus,cunning linguist
cunnilingus,cunning linguist
cunny,funny
cunt,can't
c-u-n-t,can't
cuntface,can't face
cunthunter,count hunter
cuntlick,can't click
cuntlicker,can't clicker
cunts,counts
d0ng,ding
d0uch3,duke
d0uche,duke
d1ck,duck
d1ld0,dodo
d1ldo,dodo
dago,tango
dagos,tangos
dammit,darn it
damn,darn
damned,darned
damnit,darn it
dawgie-style,doggy smile
dick,duck
dickbag,duck bag
dickdipper,duck dipper
dickface,duck face
dickflipper,duck flipper
dickhead,duck head
dickheads,duck heads
dickish,duckish
dick-ish,duckish
dickripper,duck ripper
dicksipper,duck sipper
dickweed,duckweed
dickwhipper,duck whipper
dickzipper,duck zipper
diddle,doodle
dike,bike
dildo,dill dough
dildos,dill doughs
diligaf,diligent
dillweed,dill seed
dimwit,dim lit
dingle,jingle
dipship,zip ship
doggie-style,doggy smile
doggy-style,doggy smile
dong,ding
doofus,goofus
doosh,dash
dopey,daisy
douch3,duke
douche,duke
douchebag,duffel bag
douchebags,duffel bags
douchey,duty
dumass,dumb ash
dumbass,dumb ash
dumbasses,dumb ashes
dummy,funny
dyke,bike
dykes,bikes
erotic,exotic
essohbee,essence
extacy,ecstasy
extasy,ecstasy
f.u.c.k,fork
fack,fork
fag,fig
fagg,fog
fagged,flagged
faggit,forget
faggot,forgot
fagot,forgot
fags,figs
faig,fig
faigt,flight
fannybandit,family bandit
fart,Flatulence 
fartknocker,fort knocker
fat,fit
felch,fetch
felcher,fetcher
felching,fetching
fellate,fill late
fellatio,fellatio
feltch,fetch
feltcher,fetcher
fisted,listed
fisting,listening
fisty,feisty
floozy,fluffy
foad,food
fondle,handle
foobar,toolbar
foreskin,foreseen
freex,freeze
frigg,frig
frigga,frigate
fubar,fudge bar
fuck,fork
f-u-c-k,fork
fuckass,fork ash
fucked,forked
fucker,forker
fuckface,fork face
fuckin,forking
fucking,forking
fucknugget,fork nugget
fucknut,fork nut
fuckoff,fork off
fucks,forks
fucktard,fork tart
fuck-tard,fork tart
fuckup,fork up
fuckwad,fork wad
fuckwit,fork wit
fudgepacker,fudge cracker
fuk,fork
fvck,fork
fxck,fork
ganja,gadget
gigolo,giggle
glans,plans
goatse,goats
godamn,gosh darn
godamnit,gosh darn it
goddam,gosh darn
goddammit,gosh darn it
goddamn,gosh darn
goldenshower,golden flower
gonad,go mad
gonads,go mads
gook,goof
gooks,goofs
gspot,g-spot
gtfo,get to
guido,guide
h0m0,home
h0mo,home
handjob,handy job
hard on,hard one
he11,hello
hebe,here
heeb,herb
hell,heck
hemp,help
heroin,heroine
herp,herb
herpes,herbs
herpy,happy
hitler,hit man
hiv,hive
hobag,ho bag
hom0,home
homey,homie
homo,home
homoey,homey
honky,honky
hooch,hoop
hookah,hula
hooker,booker
hoor,hoop
hootch,hitch
hooter,hooter
hooters,hooters
horny,thorny
hump,hemp
