Short Name,Full Name,IP,Note,MapX,MapY
🚥Core,Core Network Swtich Main Coms Room,10.1.199.1,,126,21
🚥MCmFibre1,Main Coms and Server Room 32F Fibre Out,10.1.199.8,,125,44
🚥Unkn1,Unknown,10.1.199.10,,144,430
🚥MCmSW1-01,Main Coms and Server Room SW1-01,10.1.199.11,,126,71
🚥R39SW1-02APs,Room 39 SW1-02 WiFi Access Points,10.1.199.12,,-123,184
🚥R39SW-V-02,Room 39 SW-V-02 Computer,10.1.199.15,,-103,214
🚥McmVoice SW-01,Main Coms and Server Room Voice SW-01,10.1.199.16,,126,98
🚥R6SWVoice,Room 6 Computer Room Small Voice switch,10.1.199.17,,378,592
🚥R17SW1-05,SW1-05 R17 DCG,10.1.199.18,,644,103
🚥R17DCG1,DCG Prefab Room 17,10.1.199.21,,643,34
🚥R19SciPrefab,Science Prefab Room 19,10.1.199.22,,586,409
🚥R24_YH_OFF,Eimears- Office,10.1.199.23,,482,945
🚥R25_26_GC_OFF,Office Between Prefab Room 25 and Room 26,10.1.199.25,,549,820
🚥R22SciPrep,R22 Science Prep Room,10.1.199.30,,633,589
📶AP49-DN_OFF,Wi-FI AP in R1 Home Ec Room,10.1.199.101,,260,290
📶AP45-R17DCG,WiFi- AP in R22 Science lab,10.1.199.127,,642,-51
🖥️STJ-DC01-Serv,STJ-DC01,10.60.160.100,,124,122
🍓R6-RaspPi,R6 Raspberry Pi,10.60.161.88,,379,619
🔥WG_Firewall,WatchGuard Firewall,10.60.161.254,,126,150
